info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                  Category  OS       Publisher                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20160523-Win-GA                                                        Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_74-20160315-Win-GA                                                        Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_77-20160419-Win-GA                                                        Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_77-20160523-Win-GA                                                        Public    Windows  Microsoft                                          
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.10                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.12                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.13                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.14                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.15                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.16                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.17                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.18                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.19                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.20                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.21                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.22                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.23                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.24                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.7                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.1                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.10                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.11                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.12                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.13                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.14                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.15                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.16                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.17                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.18                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.19                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.20                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.21                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.22                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.23                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.4                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.6                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.7                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.8                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.9                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.0                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.10                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.11                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.12                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.13                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.14                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.15                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.16                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.17                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.18                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.19                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.2                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.3                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.4                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.5                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.6                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.7                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.8                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.9                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.0                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.1                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.10                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.11                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.12                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.13                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.14                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.15                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.16                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.2                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.3                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.4                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.5                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.6                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.7                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.8                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.5.9                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.0                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.1                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.10                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.11                                                            Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.2                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.3                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.4                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.5                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.6                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.7                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.8                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.6.9                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.0                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.1                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.2                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.3                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.4                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.5                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.7.6                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.8.0                                                             Public    Linux    GitHub, Inc.                                       
data:    29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.8.1                                                             Public    Linux    GitHub, Inc.                                       
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1000.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1010.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1029.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1032.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1032.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1053.2.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1066.2.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1068.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1081.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1081.2.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1095.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1097.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1109.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1122.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1151.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1164.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1164.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1185.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1192.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1192.1.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1192.2.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1207.0.0                                                               Public    Linux    CoreOS                                             
